participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;2.24;0;0.125;-1;0;0.125;-1;1;-1;1;;
Marion;30;2.26;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.28;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.3;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.32;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.34;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.36;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.38;1;-0.21875;-1;1;-0.21875;-1;1;-1;1;;
Marion;30;2.4;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.42;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.44;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.46;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.48;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.5;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.52;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.54;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.56;0;-0.1171875;-1;0;-0.1171875;-1;1;-1;1;;
Marion;30;2.58;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.6;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.62;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.64;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.66;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.68;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.7;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.72;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.74;0.5;0.09375;-1;0.5;0.09375;-1;1;-1;1;;
Marion;30;2.76;0;-0.0078125;-1;0;-0.0078125;-1;1;-1;1;;
Marion;30;2.78;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.8;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.82;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.84;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.86;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.88;0;0.015625;-1;0;0.015625;-1;1;-1;1;;
Marion;30;2.9;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.92;-0.5;-0.02294922;-1;-0.5;-0.02294922;-1;1;-1;1;;
Marion;30;2.94;-0.05321416;0.07708335;5.623703;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.96;-0.003942937;0.0267027;5.07692;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.98;0.0207904;0.03688383;4.85936;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3;0.03405249;0.006344676;5.435852;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.02;0.03988314;0.01049751;5.004578;0;-0.1015625;-1;1;-1;1;;
Marion;30;3.04;0.06390893;0.007049918;5.593811;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.06;0.07905459;0.007197142;5.506485;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.08;0.06270051;-0.008768439;5.387054;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.1;0.07917726;0.010952;5.799576;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.12;0.06120229;-0.01305217;5.493469;-0.5;-0.5;-1;1;-1;1;;
Marion;30;3.14;0.06226575;-0.01164323;5.813446;0;-0.0859375;-1;1;-1;1;;
Marion;30;3.16;0.05293131;-0.009103358;5.560104;0.0923245;-0.0172548;5.066742;1;-1;1;;
Marion;30;3.18;0.05293131;-0.009103358;5.560104;0.0923245;-0.0172548;5.066742;1;-1;1;;
Marion;30;3.2;0.01708102;-0.01262179;5.525894;0.06892335;-0.01050788;5.140976;1;-1;1;;
